Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774945386.3717,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1288,-0.2160,1.5251,0.0029,-0.0033,-0.0098
1774945386.3913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1285,-0.2162,-3.2009,0.0019,-0.0054,-0.0130
1774945386.4148,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1288,-0.2163,-3.5516,0.0029,-0.0054,-0.0119
1774945386.4332,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1303,-0.2162,1.5048,0.0029,-0.0033,-0.0119
1774945386.4514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2164,2.4471,0.0040,-0.0033,-0.0119
1774945386.4713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1317,-0.2165,-1.4254,0.0082,-0.0033,-0.0109
1774945386.4913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1322,-0.2164,0.1115,0.0061,-0.0043,-0.0119
1774945386.5114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1307,-0.2161,0.5780,0.0061,-0.0065,-0.0098
1774945386.5313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2166,0.7547,0.0019,-0.0033,-0.0109
1774945386.5513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1288,-0.2163,1.1400,-0.0003,-0.0033,-0.0119
1774945386.5713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1281,-0.2163,-2.3875,0.0050,-0.0043,-0.0119
1774945386.5913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1295,-0.2167,-1.1279,0.0019,-0.0033,-0.0119
1774945386.6114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1295,-0.2161,3.5089,0.0050,-0.0043,-0.0119
1774945386.6316,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1308,-0.2163,-1.4196,0.0050,-0.0043,-0.0098
1774945386.6516,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1313,-0.2165,1.5467,0.0040,-0.0022,-0.0098
1774945386.6714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2163,0.7642,0.0040,-0.0043,-0.0119
1774945386.6913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1308,-0.2166,-1.3136,0.0019,-0.0033,-0.0098
1774945386.7115,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2166,-0.5231,0.0019,-0.0022,-0.0109
1774945386.7314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1298,-0.2165,-1.0783,0.0029,-0.0043,-0.0109
1774945386.7513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1290,-0.2162,-0.4537,0.0040,-0.0043,-0.0119
1774945386.7714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1292,-0.2163,0.5191,0.0072,-0.0022,-0.0119
1774945386.7913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1291,-0.2161,1.8426,0.0040,-0.0043,-0.0119
1774945386.8113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1293,-0.2160,-1.1697,0.0050,-0.0022,-0.0098
1774945386.8313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1299,-0.2162,0.3967,0.0019,-0.0043,-0.0098
1774945386.8513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1299,-0.2160,0.6997,0.0029,-0.0054,-0.0109
1774945386.8713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1311,-0.2164,-2.0647,0.0040,-0.0054,-0.0130
1774945386.8913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2162,1.3234,0.0050,-0.0033,-0.0109
1774945386.9113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2163,-0.2230,0.0072,-0.0043,-0.0130
1774945386.9313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1305,-0.2165,0.2927,0.0061,-0.0043,-0.0130
1774945386.9515,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1293,-0.2164,-0.1122,0.0050,-0.0043,-0.0119
1774945386.9714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2165,-2.1308,0.0029,-0.0043,-0.0109
1774945386.9912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1286,-0.2164,1.0757,0.0040,-0.0043,-0.0119
1774945387.0113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1295,-0.2164,0.4556,0.0029,-0.0033,-0.0119
1774945387.0312,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1298,-0.2161,0.1130,0.0019,-0.0033,-0.0109
1774945387.0514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1304,-0.2160,-1.2568,0.0040,-0.0033,-0.0098
1774945387.0758,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1313,-0.2161,0.2872,0.0040,-0.0033,-0.0109
1774945387.0914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1305,-0.2161,1.1629,0.0050,-0.0033,-0.0119
1774945387.1114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2163,-1.2501,0.0029,-0.0043,-0.0109
1774945387.1313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1301,-0.2163,0.5464,0.0040,-0.0054,-0.0109
1774945387.1514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2163,0.3551,0.0040,-0.0043,-0.0119
1774945387.1713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2163,0.4687,0.0029,-0.0022,-0.0109
1774945387.1913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1292,-0.2161,-0.2373,0.0050,-0.0033,-0.0109
1774945387.2115,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2163,-1.5594,0.0019,-0.0033,-0.0109
1774945387.2313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2161,1.0589,0.0050,-0.0033,-0.0109
1774945387.2514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1303,-0.2161,0.5389,0.0019,-0.0022,-0.0109
1774945387.2714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1304,-0.2160,0.4174,0.0029,-0.0043,-0.0119
1774945387.2914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1303,-0.2160,-0.2880,0.0050,-0.0043,-0.0119
1774945387.3112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1309,-0.2164,0.0000,0.0008,-0.0022,-0.0109
1774945387.3312,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2164,0.3542,0.0082,-0.0033,-0.0109
1774945387.3555,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1293,-0.2163,-0.2575,0.0040,-0.0054,-0.0087
1774945387.3712,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2166,0.0000,0.0040,-0.0043,-0.0109
1774945387.3912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2163,0.0000,0.0040,-0.0043,-0.0109
1774945387.4115,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2163,0.0887,0.0029,-0.0043,-0.0098
1774945387.4314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1311,-0.2164,0.0000,0.0040,-0.0033,-0.0109
1774945387.4513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1314,-0.2161,0.0000,0.0029,-0.0033,-0.0109
1774945387.4714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1309,-0.2160,0.0000,0.0061,-0.0033,-0.0109
1774945387.4913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1307,-0.2158,0.0000,0.0040,-0.0022,-0.0119
1774945387.5113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2158,0.0000,0.0040,-0.0043,-0.0109
1774945387.5313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1303,-0.2163,0.0000,0.0050,-0.0033,-0.0109
1774945387.5530,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1309,-0.2167,0.0000,0.0019,-0.0033,-0.0119
1774945387.5713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1306,-0.2168,0.0000,0.0040,-0.0033,-0.0109
1774945387.5912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1317,-0.2167,0.0000,-0.0013,-0.0065,-0.0109
1774945387.6113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2170,0.0000,0.0008,-0.0065,-0.0141
1774945387.6312,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1271,-0.2179,0.0000,0.0008,-0.0054,-0.0119
1774945387.6527,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1282,-0.2179,0.0000,0.0029,-0.0033,-0.0109
1774945387.6713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1301,-0.2171,0.0000,0.0040,-0.0022,-0.0119
1774945387.6913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1312,-0.2177,0.0000,0.0008,-0.0043,-0.0098
1774945387.7114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1315,-0.2177,0.0832,0.0061,-0.0054,-0.0109
1774945387.7313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1321,-0.2170,0.5590,0.0040,-0.0033,-0.0119
1774945387.7516,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1317,-0.2164,0.0000,0.0061,-0.0043,-0.0119
1774945387.7749,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1312,-0.2164,0.2269,0.0061,-0.0033,-0.0109
1774945387.7913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1308,-0.2165,-0.7358,0.0050,-0.0033,-0.0141
1774945387.8112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2161,0.4515,0.0019,-0.0054,-0.0119
1774945387.8313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1291,-0.2159,-0.3376,0.0029,-0.0033,-0.0119
1774945387.8513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1286,-0.2161,-0.6887,0.0008,-0.0033,-0.0109
1774945387.8712,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1286,-0.2159,-2.1326,0.0050,-0.0033,-0.0119
1774945387.8913,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1304,-0.2161,-1.9901,0.0008,-0.0043,-0.0119
1774945387.9114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1302,-0.2162,0.2541,0.0050,-0.0043,-0.0130
1774945387.9313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1318,-0.2165,-0.6326,0.0040,-0.0022,-0.0130
1774945387.9516,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1318,-0.2163,0.9346,0.0029,-0.0033,-0.0109
1774945387.9713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1317,-0.2162,-0.8571,0.0072,-0.0043,-0.0109
1774945387.9915,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1311,-0.2165,1.7755,0.0029,-0.0033,-0.0109
1774945388.0113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2164,1.3565,0.0040,-0.0033,-0.0098
1774945388.0313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2173,-1.6478,0.0040,-0.0033,-0.0109
1774945388.0512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1300,-0.2199,-2.5357,0.0093,0.0095,-0.0066
1774945388.0712,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1318,-0.2224,1.2631,-0.0003,-0.0033,-0.0024
1774945388.0912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1308,-0.2243,-8.6443,-0.0056,-0.0139,-0.0045
1774945388.1112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1298,-0.2236,-0.4445,0.0008,-0.0086,-0.0173
1774945388.1312,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1274,-0.2213,2.4832,0.0082,-0.0107,-0.0269
1774945388.1515,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1271,-0.2189,-3.5887,0.0146,-0.0278,-0.0279
1774945388.1713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1306,-0.2170,-2.9769,0.0019,-0.0288,-0.0162
1774945388.1912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1320,-0.2151,9.2179,-0.0088,-0.0320,-0.0034
1774945388.2112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1316,-0.2172,24.8648,-0.0120,-0.0139,0.0094
1774945388.2313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1314,-0.2211,-20.3816,0.0040,0.0212,0.0094
1774945388.2512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1315,-0.2245,-21.4998,0.0019,-0.0043,-0.0013
1774945388.2713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1310,-0.2285,-33.2442,-0.0088,-0.0001,-0.0055
1774945388.2919,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1309,-0.2314,-36.5855,0.0189,-0.0246,-0.0119
1774945388.3113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1316,-0.2332,18.7628,0.0338,-0.0715,-0.0109
1774945388.3313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1318,-0.2355,4.6260,0.0178,-0.0725,-0.0130
1774945388.3512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1309,-0.2354,57.9276,0.0327,-0.0704,-0.0045
1774945388.3713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1313,-0.2339,62.1734,0.0168,-0.1279,0.0040
1774945388.3912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1290,-0.2300,8.2188,0.0338,-0.1940,-0.0087
1774945388.4113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1266,-0.2267,169.8014,0.0551,-0.1503,-0.0258
1774945388.4313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1264,-0.2240,158.2000,0.0775,-0.1705,-0.0045
1774945388.4522,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1281,-0.2223,-23.9834,-0.0195,-0.1716,0.0168
1774945388.4713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1253,-0.2223,-71.8118,0.0381,-0.1396,0.0339
1774945388.4912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1246,-0.2217,-68.0697,0.0509,-0.1407,0.0413
1774945388.5116,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1250,-0.2227,-26.6307,0.0242,-0.0938,0.0211
1774945388.5313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1235,-0.2244,8.3971,0.0104,-0.0374,-0.0162
1774945388.5514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1221,-0.2252,39.3656,0.0391,-0.0693,-0.0205
1774945388.5713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1220,-0.2265,-33.6539,0.0285,-0.0640,-0.0332
