Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774946113.6141,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0200,-0.2073,0.9249,0.0029,-0.0065,-0.0130
1774946113.6314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0219,-0.2079,0.5440,0.0061,-0.0022,-0.0098
1774946113.6515,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0206,-0.2075,-2.8361,0.0040,-0.0043,-0.0077
1774946113.6717,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0192,-0.2075,-3.2804,0.0072,-0.0012,-0.0098
1774946113.6914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0174,-0.2072,-0.3413,0.0040,-0.0022,-0.0109
1774946113.7115,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0155,-0.2069,-0.9109,0.0072,-0.0054,-0.0098
1774946113.7313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0150,-0.2070,-3.6239,0.0029,-0.0033,-0.0087
1774946113.7514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0148,-0.2068,0.4591,0.0029,-0.0033,-0.0098
1774946113.7714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0158,-0.2063,-0.8512,0.0029,-0.0043,-0.0109
1774946113.7914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0178,-0.2067,-1.6324,-0.0003,-0.0043,-0.0109
1774946113.8123,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0191,-0.2071,-0.6300,0.0040,-0.0033,-0.0098
1774946113.8314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0206,-0.2073,-0.9851,0.0040,-0.0065,-0.0119
1774946113.8514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0202,-0.2077,0.0584,0.0040,-0.0054,-0.0109
1774946113.8716,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0196,-0.2078,-0.1674,0.0040,-0.0043,-0.0119
1774946113.8915,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0176,-0.2073,0.5129,0.0040,-0.0054,-0.0109
1774946113.9116,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0154,-0.2069,-1.1765,0.0050,-0.0043,-0.0130
1774946113.9344,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0144,-0.2067,-0.8790,0.0008,-0.0043,-0.0119
1774946113.9513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0142,-0.2063,1.9031,0.0040,-0.0033,-0.0109
1774946113.9714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0158,-0.2066,1.0718,0.0019,-0.0043,-0.0119
1774946113.9915,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0173,-0.2067,2.8239,0.0029,-0.0033,-0.0109
1774946114.0115,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0189,-0.2066,0.8004,0.0050,-0.0033,-0.0109
1774946114.0314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0194,-0.2069,3.2653,0.0040,-0.0033,-0.0098
1774946114.0514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0206,-0.2074,1.4756,0.0082,-0.0022,-0.0087
1774946114.0714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0199,-0.2077,-1.9657,0.0061,-0.0033,-0.0087
1774946114.0918,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0171,-0.2071,0.0000,0.0061,-0.0033,-0.0109
1774946114.1113,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0147,-0.2068,0.0000,0.0050,-0.0033,-0.0098
1774946114.1315,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0148,-0.2060,0.0000,0.0029,-0.0043,-0.0098
