Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774945133.2536,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1317,-0.2151,-0.2531,-0.0003,-0.0043,-0.0130
1774945133.2715,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1312,-0.2144,0.3824,0.0029,-0.0075,-0.0130
1774945133.2917,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1311,-0.2149,-0.0826,-0.0003,-0.0075,-0.0130
1774945133.3122,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2153,0.9478,0.0029,-0.0033,-0.0119
1774945133.3313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2155,0.2222,0.0050,-0.0012,-0.0109
1774945133.3513,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1314,-0.2149,-0.1738,0.0008,-0.0043,-0.0109
1774945133.3713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1314,-0.2150,-0.4284,0.0019,-0.0054,-0.0130
1774945133.3912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1326,-0.2156,-0.6976,0.0040,-0.0033,-0.0130
1774945133.4112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1334,-0.2151,0.5824,0.0029,-0.0043,-0.0109
1774945133.4315,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1336,-0.2148,-0.6047,0.0040,-0.0043,-0.0109
1774945133.4514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1326,-0.2150,1.0372,0.0050,-0.0043,-0.0119
1774945133.4716,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1311,-0.2152,-0.9016,0.0050,-0.0022,-0.0119
1774945133.4916,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1307,-0.2149,0.3039,0.0019,-0.0033,-0.0109
1774945133.5118,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2150,1.3750,0.0040,-0.0043,-0.0130
