Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774940555.8930,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1351,-0.2090,0.0000,-0.0013,-0.0022,-0.0087
1774940555.9120,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1331,-0.2084,0.6796,0.0050,-0.0033,-0.0077
1774940555.9314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1332,-0.2082,0.4586,0.0008,-0.0043,-0.0087
1774940555.9516,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1324,-0.2084,-0.1114,0.0008,-0.0033,-0.0087
1774940555.9716,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1331,-0.2085,-0.6708,-0.0003,-0.0022,-0.0109
1774940555.9915,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1334,-0.2085,0.1162,0.0029,-0.0033,-0.0098
1774940556.0114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1346,-0.2087,-1.6934,0.0008,-0.0022,-0.0087
1774940556.0316,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1348,-0.2086,-0.7999,0.0019,-0.0022,-0.0077
1774940556.0586,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1346,-0.2086,-1.0946,0.0019,-0.0022,-0.0087
1774940556.0719,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1347,-0.2086,0.6887,-0.0003,-0.0043,-0.0087
1774940556.0915,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1332,-0.2088,1.3981,0.0008,-0.0033,-0.0087
1774940556.1116,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1330,-0.2084,-0.6312,-0.0013,-0.0033,-0.0087
1774940556.1315,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1326,-0.2082,0.2125,0.0029,-0.0033,-0.0077
1774940556.1515,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1326,-0.2083,-0.1687,0.0008,-0.0033,-0.0087
1774940556.1714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1336,-0.2083,1.3137,0.0019,-0.0022,-0.0087
1774940556.1916,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1339,-0.2083,-1.1259,0.0019,-0.0022,-0.0087
1774940556.2116,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1342,-0.2084,-2.0758,-0.0003,-0.0012,-0.0087
1774940556.2313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1340,-0.2088,2.5193,0.0029,-0.0033,-0.0098
1774940556.2524,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1342,-0.2088,0.3777,0.0019,-0.0033,-0.0109
