Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774945724.5914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1303,-0.2136,-1.6869,0.0040,-0.0043,-0.0119
1774945724.6114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2134,1.1356,0.0050,-0.0033,-0.0087
1774945724.6313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2134,0.2260,0.0029,-0.0022,-0.0087
1774945724.6512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1301,-0.2136,0.0000,0.0029,-0.0033,-0.0087
1774945724.6713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2136,-0.8796,0.0050,-0.0043,-0.0098
1774945724.6914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1300,-0.2138,-2.0665,0.0008,-0.0033,-0.0098
1774945724.7112,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1291,-0.2137,0.7098,0.0040,-0.0033,-0.0098
1774945724.7313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2135,-0.0554,0.0061,-0.0043,-0.0119
1774945724.7514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2136,0.0592,0.0029,-0.0043,-0.0109
1774945724.7714,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2134,-0.4608,0.0050,-0.0043,-0.0119
1774945724.7914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1299,-0.2136,0.5328,0.0008,-0.0033,-0.0109
1774945724.8116,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1292,-0.2135,0.4367,0.0040,-0.0043,-0.0098
1774945724.8314,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1300,-0.2138,-1.4379,0.0040,-0.0033,-0.0119
1774945724.8514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1295,-0.2136,0.3360,0.0029,-0.0043,-0.0098
1774945724.8716,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1293,-0.2136,0.4009,0.0040,-0.0033,-0.0109
1774945724.8914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2135,0.3822,0.0029,-0.0033,-0.0109
1774945724.9114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1291,-0.2134,-0.8173,0.0072,-0.0033,-0.0109
1774945724.9322,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1298,-0.2135,-1.6712,0.0029,-0.0043,-0.0109
1774945724.9514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1294,-0.2134,1.6969,0.0050,-0.0043,-0.0130
1774945724.9716,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1298,-0.2135,0.6216,0.0019,-0.0033,-0.0109
1774945724.9914,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1297,-0.2134,0.5934,0.0040,-0.0043,-0.0098
1774945725.0114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1296,-0.2134,-1.2760,0.0040,-0.0033,-0.0087
1774945725.0313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1300,-0.2135,-0.1701,-0.0003,-0.0033,-0.0098
