Timestamp,EKF_Vx,EKF_Wz,LIO_Vx,LIO_Vy,LIO_Wz,Roll,Pitch,Z_Jerk,IMU_Wx,IMU_Wy,IMU_Wz
1774941264.0712,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1387,-0.2116,0.8526,-0.0003,-0.0043,-0.0066
1774941264.0963,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1387,-0.2118,-0.5092,0.0029,-0.0033,-0.0109
1774941264.1114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1396,-0.2117,1.0054,0.0019,-0.0022,-0.0087
1774941264.1313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1400,-0.2115,0.9386,0.0029,-0.0022,-0.0087
1774941264.1512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1407,-0.2117,-1.2820,0.0019,-0.0033,-0.0087
1774941264.1712,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1399,-0.2117,1.4490,0.0008,-0.0033,-0.0087
1774941264.1928,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1400,-0.2117,-1.3674,-0.0003,-0.0022,-0.0077
1774941264.2114,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1396,-0.2117,0.7311,0.0008,-0.0033,-0.0098
1774941264.2313,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1384,-0.2117,-1.2700,0.0019,-0.0022,-0.0087
1774941264.2512,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1395,-0.2114,-1.1110,-0.0003,-0.0022,-0.0087
1774941264.2713,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1387,-0.2115,0.0000,0.0029,-0.0043,-0.0087
1774941264.2912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1390,-0.2116,0.0000,0.0008,-0.0033,-0.0098
1774941264.3129,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1400,-0.2116,0.0000,0.0008,-0.0043,-0.0087
1774941264.3317,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1400,-0.2114,0.0000,0.0008,-0.0022,-0.0087
1774941264.3514,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1402,-0.2114,0.6637,-0.0003,-0.0033,-0.0066
1774941264.3731,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1383,-0.2115,0.0000,0.0019,-0.0022,-0.0077
1774941264.3912,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1389,-0.2117,0.0000,-0.0003,-0.0022,-0.0087
1774941264.4122,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1391,-0.2120,0.0000,0.0029,-0.0033,-0.0087
1774941264.4312,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1387,-0.2120,0.0000,0.0008,-0.0022,-0.0087
1774941264.4522,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1391,-0.2119,0.0000,-0.0003,-0.0022,-0.0087
1774941264.4742,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1396,-0.2119,-0.6639,0.0019,-0.0022,-0.0098
